epoch,train_loss,eval_loss_mean,auc_roc,auc_pr,eer,eer_th,fpr_at_target_fnr,threshold_at_target_fnr,lr
19,0.005590518936514854,0.10772262513637543,0.5872387535724986,0.6173352997055327,0.4484282826954993,0.08805024732133857,0.7225791609839459,0.012708612671000152,9.999999999999996e-05
20,0.005229644943028688,0.10667741298675537,0.5865577725594107,0.617211995491891,0.44939776853936275,0.08779176094184518,0.7291519463660713,0.012778045500033178,8.750000000000001e-05
21,0.004936916287988424,0.1028815507888794,0.5860007075878066,0.6167817064664881,0.45044941420050283,0.08530303222150969,0.7308937344923345,0.01254290115726942,7.500000000000005e-05
22,0.004710240755230188,0.11694222688674927,0.5856243100200182,0.6158755202373898,0.4496935438815584,0.09112290689507906,0.7286589874624119,0.013208272657427526,6.249999999999996e-05
23,0.004528748337179422,0.1110338345170021,0.5858848052334062,0.6158525103126635,0.44874049000115024,0.08619052854726371,0.7267528797015955,0.012576549988403263,5e-05
24,0.004382533486932516,0.11345675587654114,0.5845046885010609,0.6148534487844446,0.45094237310416224,0.08765010975231276,0.7305979591501388,0.012898256108832185,5.625000000000001e-05
25,0.00426567904651165,0.11990109831094742,0.5825220599337969,0.6134787016764859,0.4550996598583565,0.09146839986839726,0.7320111080072957,0.012839967883171391,6.249999999999999e-05
26,0.004145877435803413,0.11148872971534729,0.5842411793451039,0.6147064301996314,0.4531113922802636,0.08794484170688857,0.7289876267315182,0.012638664682493278,6.875e-05
27,0.004023653455078602,0.1268385946750641,0.581927524070011,0.6131560563548291,0.4569236078018962,0.09624887347704911,0.737318632203362,0.013335429364436572,7.500000000000002e-05
28,0.0039023275021463633,0.1291290819644928,0.581253647846742,0.6125326502920168,0.4572358151075472,0.0951041270721741,0.7336871682797378,0.01310355806975318,8.125e-05
29,0.0037762585561722517,0.1288667768239975,0.5815604535806168,0.6125819462019226,0.4589283073434445,0.09629004004748346,0.7288726029873309,0.012974209598745283,8.750000000000001e-05
30,0.003659162437543273,0.1289600431919098,0.5793052650769128,0.6113325430214178,0.4608179831408055,0.0962732688176049,0.7357247317481966,0.012927769207366274,8.125e-05
31,0.0035423790104687214,0.14069268107414246,0.580157700134728,0.6109532925676394,0.46012784067568235,0.09947780570021415,0.7335721445355505,0.012588583724312298,7.500000000000002e-05
32,0.003439065534621477,0.15525703132152557,0.577941211529839,0.6095123115827618,0.46223113199796245,0.10324976589272666,0.7359547792365709,0.012439061621316114,6.875e-05
33,0.003345153760164976,0.13315843045711517,0.5767871527764248,0.6093447845474819,0.4632170498052812,0.09425803462360982,0.7367435134824261,0.012584796052250073,6.249999999999999e-05
34,0.003268045373260975,0.13749445974826813,0.5765720808062611,0.6094260295497846,0.4642851274298766,0.0953792159352438,0.7385017335721445,0.012255669897606366,5.625000000000001e-05
